Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.310331e+01  2.224469e+00  7.507440e+05  0.000000e+00
5000          -8.055882e+00  3.970590e+01  5.268097e-03  7.109702e+00  1.537757e+09  7.803705e-01
10000         -8.022254e+00  2.538816e+01  2.450943e-03  5.085202e+00  2.881376e+09  8.329492e-01
15000         -8.040508e+00  2.524677e+01  1.331329e-03  3.296570e+00  4.229141e+09  8.512509e-01
20000         -8.065630e+00  2.516171e+01  7.553101e-04  2.085085e+00  5.578256e+09  8.604983e-01
25000         -8.084887e+00  2.511143e+01  4.363060e-04  1.324738e+00  6.921838e+09  8.668362e-01
30000         -8.097581e+00  2.508178e+01  2.546310e-04  8.626755e-01  8.264628e+09  8.711971e-01
35000         -8.105469e+00  2.506430e+01  1.492500e-04  5.861380e-01  9.608441e+09  8.742459e-01
40000         -8.110240e+00  2.505399e+01  8.773804e-05  4.218729e-01  1.095226e+10  8.765463e-01
45000         -8.113090e+00  2.504792e+01  5.161762e-05  3.246676e-01  1.229510e+10  8.784131e-01
50000         -8.114780e+00  2.504434e+01  3.039837e-05  2.672555e-01  1.364002e+10  8.797789e-01
